"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"New York","NY","New York","Queens",1,,,,2400,2500,2500,2375,2450,2500,2450,2495,2200,2100,2400,2500,2500,2350,2300,2400,2300,2350,2425,2400,2400,2465,2495,2500,2500,2500,2520,2550,2595,2600,2600,2600,2595,2650,2603,2650,2699,2700,2640,2650,2700,2700,2650,2613,2600,2600,2600,2600,2650,2645,2300,2295,2295,2250,2275,2200,2200,2275,2295,2350,2375,2300,2250,2300,2300,2250,2200,2200,2200,2200,2200,2275,2300,2350,2337,2325,2399,2495,2400,2200
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,1345,1345,1395,1350,1350,1395,1395,1400,1400,1350,1336,1295,1250,1250,1200,1287.5,1350,1399,1395,1420,1400,1395,1395,1450,1509.5,1500,1430,1450,1575,1588,1550,1550,1550,1482.5,1450,1495,1515,1352.5,1525,1495,1495,1454.5,1495,1595,1600,1650,1695,1701,1750,1726,1770,1755,1799,1795,1752,1795,1825,1805,1800,1850,1850,1850,1850,1990,1999.5,2020,2025,2000,1995,1958,1925,1995,1900,1940,1895
"Chicago","IL","Chicago","Cook",3,,,,,,,,,1397,1382,1400,1260,1295,1275,1300,1315,1390,1350,1305,1333,1325,1333,1382,1399,1350,1295,1275,1350,1400,1400,1415,1475,1500,1477,1500,1500,1600,1500,1550,1590,1600,1590,1595,1570.5,1545,1588,1640,1617,1545,1505,1498,1499,1541.5,1635,1525,1662.5,1697,1650,1500,1600,1655,1503,1510,1525,1500,1495,1495,1645,1700,1794,1700,1670,1732,1595,1550,1545,1510,1495,1495,1495,1500,1550,1550
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1109,1220,1113.5,1072,1105,1210,1209,1230,1200,1226,1240,1179,1192,1183,1200,1200,1225,1230,1225,1225,1223.5,1237.5,1240,1355,1354.5,1374.5,1295,1325,1300,1295,1283.5,1246,1195,1238,1184.5,1140,1196
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1450,1350,1412.5,1575,1575,1625,1410,1400,1410,1400,1294,1295,1295,1270,1195,1180,1100,1100,1100,1000,1025,1050,999,1130,1195,1250,1200,1250,1200,1197,1150,1175,1118,1100,1075,1200,1195,1177.5,1250,1154.5,1193.5,1150,1250,1249,1250,1250,1057.5,1095,1075,1141,1300,1300,1295,1256.5,1200,1200,1199,1152.5,1130,1125,1200,1300,1275,1260,1200,1250,1199,1195,1250,1200,1250,1225,1295,1300,1350,1300,1300,1300,1289,1350,1300,1310.5
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,618.5,700,700,699.5,695,685,695,700,750,695,650,667,671.5,650,636,615,600,649,673,655,655,670,680,695,700,705,695,685,670,672.5,675,669,670,667,675,666,675,655,650,667.5,707,700,699,706,688,699,695,708.5,700,700,696,705,710,730,753.5,755,765,775,760,775,790,795,825,895,880,875,900,875,850,940,850,876,875,864,850,834
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,772.5,700,700,700,650,625,649,615,629,649,602.5,599.5,629.5,625,625,640,650,640,625,625,625,640,650,680,700,699,675,650,650,671,700,677.5,675,675,690,700,697,720,725,749.5,750,759,779,773.5,795,792.5,779.5,785,800,809,813.5,795,780,820,875,858.5,845,875,850,850,879,825,875,850,847,839,852
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,652.5,597,595,595,595,600,637.5,646.5,650,624.5,650,662.5,675,715,730,695,685,679,679,725,725,700,707.5,694.5,710,712.5,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,795,785,786.5,779,775,779,787,784.5,790,775,769.5,775,775,780.5,793,795,800,849.5,850,825,819,847,825,800,821,804,820.5,834,790,809,794.5
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,1250,1250,1230,1287,1250,1250,1350,1400,1450,1449.5,1300,1300,1350,1320,1360,1295,1295,1330,1300,1300,1350,1329,1335,1350,1340,1350,1355,1350,1349,1330,1300,1350,1375,1325,1255,1400,1450,1395,1380,1450,1625,1600,1595,1650,1610,1650,1682,1650,1690,1705.5,1650,1686,1697,1702.5,1735,1780.5,1800,1775,1744.5,1750,1750,1750,1756,1750,1695,1680,1850,1725,1810,1695,1713,1695
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,929,837,845,798.5,755,880.5,850,860,943,875,985,1000.5,962,920.5,1006,1000,1026,1071.5,1143,1050,1079,1079,1022,1095,1098,1049,1095,1107,1150,1158,1175,1143,1135,1164,1150,1175,1144,1108.5,1120,1150,1199,1197,1158,1129.5,1119,1155,1150,1164,1196.5,1200,1229,1200,1195,1195,1205,1255,1275,1250,1240,1261.5,1265,1235,1310,1275,1250,1215
